id,enumerator_id,survey_date,duration_minutes,respondent_age,household_size,monthly_income,monthly_expenditure,asset_count,currently_working,education_level,work_sector
R03570,E01,2025-04-01,30,44,5,1601,1751,2,1,1,services
R01997,E01,2025-04-01,21,34,10,1761,1652,5,1,2,agriculture
R02628,E01,2025-04-01,31,18,5,1531,884,4,1,1,retail
,E01,2025-04-01,27,18,4,1339,1031,5,1,1,agriculture
R00005,E01,2025-04-02,17,46,4,1681,1292,8,1,1,retail
R00006,E01,2025-04-02,62,46,5,1176,1260,2,1,4,manufacturing
R00007,E01,2025-04-02,32,57,6,1207,1085,0,1,3,agriculture
R00008,E01,2025-04-02,44,47,4,,640,1,0,2,
R00009,E01,2025-04-02,30,69,4,1825,964,4,1,3,services
R00010,E01,2025-04-02,41,13,8,1601,1413,3,1,3,agriculture
R00011,E01,2025-04-02,33,36,7,1364,1352,5,1,1,services
R00012,E01,2025-04-02,40,23,4,,2746,2,0,3,
R00013,E01,2025-04-02,29,40,4,,,4,0,4,
R00014,E01,2025-04-02,33,21,6,1283,690,1,1,4,agriculture
R00015,E01,2025-04-02,35,32,6,657,357,3,1,3,retail
R00016,E01,2025-04-02,35,55,5,1281,849,4,1,1,agriculture
R00017,E01,2025-04-03,45,33,3,13599,2462,0,1,3,agriculture
R00018,E01,2025-04-03,41,20,5,,1219,3,0,1,
R00019,E01,2025-04-03,51,28,4,1204,4459,2,1,4,services
R00020,E01,2025-04-03,30,,5,370,,1,1,3,manufacturing
R00021,E01,2025-04-03,31,41,6,1572,1228,4,1,1,retail
R00022,E01,2025-04-03,47,42,8,2206,,1,1,2,manufacturing
R00023,E01,2025-04-03,42,38,10,1763,1729,5,1,3,retail
R00024,E01,2025-04-03,32,52,6,,1561,7,1,3,agriculture
R00025,E01,2025-04-03,31,30,8,809,592,4,1,1,services
R00026,E01,2025-04-04,32,20,4,,836,3,1,1,manufacturing
R00027,E01,2025-04-04,29,37,5,,1673,8,0,3,
R00028,E01,2025-04-04,45,47,3,990,953,1,1,4,government
R00029,E01,2025-04-04,33,28,5,,1197,4,0,4,
R00030,E01,2025-04-04,24,32,4,1919,2006,6,1,2,manufacturing
R00031,E01,2025-04-04,47,68,2,,1933,5,0,3,
R00032,E01,2025-04-05,36,40,3,,1193,3,0,4,
R00033,E01,2025-04-05,42,20,7,,1279,3,0,4,
R00034,E01,2025-04-05,36,63,5,1504,1385,5,1,2,retail
R00035,E01,2025-04-05,28,31,3,1899,1712,5,1,1,agriculture
R00036,E01,2025-04-06,27,32,3,2488,1822,5,1,2,government
R00037,E01,2025-04-06,29,35,9,637,21062,3,1,4,government
R00038,E01,2025-04-06,43,43,11,1932,1945,9,1,4,retail
R00039,E01,2025-04-06,38,42,8,1142,1084,6,1,1,agriculture
R00040,E01,2025-04-06,26,27,3,1109,1035,3,1,3,services
R00041,E01,2025-04-06,30,38,4,1827,1560,6,1,4,manufacturing
R00042,E01,2025-04-06,66,57,5,,511,,1,3,retail
R00043,E01,2025-04-06,48,37,10,,1853,,0,1,
R00044,E01,2025-04-06,33,28,4,,4910,5,0,3,
R00045,E01,2025-04-06,52,29,7,,1476,7,0,2,
R00046,E01,2025-04-06,38,18,7,,579,4,1,2,retail
R00047,E01,2025-04-07,40,37,5,,594,2,0,1,
R00048,E01,2025-04-07,33,30,3,1032,526,,1,4,agriculture
R00049,E01,2025-04-07,28,25,4,732,561,7,1,3,services
R00050,E01,2025-04-07,31,50,3,,1157,6,1,2,retail
R00051,E01,2025-04-07,37,41,6,,1727,5,0,1,
R00052,E01,2025-04-07,43,39,10,,1082,5,0,1,
R00053,E01,2025-04-07,29,61,2,,477,0,0,2,
R00054,E01,2025-04-07,25,57,5,592,367,2,1,4,retail
R00055,E01,2025-04-07,17,58,5,683,728,5,1,4,manufacturing
R00056,E01,2025-04-08,43,22,7,,793,3,0,2,
R00057,E01,2025-04-08,29,33,5,,604,2,0,4,
R00058,E01,2025-04-08,29,43,7,,561,3,0,3,
R00059,E01,2025-04-08,24,48,8,364,610,4,1,4,agriculture
R00060,E01,2025-04-08,44,47,11,1557,1290,4,1,1,services
R00061,E01,2025-04-08,56,58,9,601,595,4,1,2,retail
R00062,E01,2025-04-08,27,49,7,1502,1784,5,1,1,agriculture
R00063,E01,2025-04-09,43,52,8,1235,942,3,1,1,services
R00064,E01,2025-04-09,34,39,6,1337,690,5,1,2,services
R00065,E01,2025-04-09,22,40,4,,659,8,1,2,retail
R00066,E01,2025-04-09,40,24,7,1856,2083,5,1,4,manufacturing
R00067,E01,2025-04-09,30,40,5,,,,0,4,
R00068,E01,2025-04-09,41,27,3,972,711,3,1,1,government
R00069,E01,2025-04-09,29,41,2,1067,576,5,1,4,government
R00070,E01,2025-04-10,36,54,6,,1717,2,0,1,
R00071,E01,2025-04-10,62,54,9,1978,,6,1,1,agriculture
R00072,E01,2025-04-10,28,58,11,1914,1372,3,1,3,agriculture
R00073,E01,2025-04-10,49,40,4,2003,2056,2,1,2,retail
